Well ID,Depth (m),Dip,Azimuth
Dec-35,0,90,0
Dec-35,2133.6,90,0
13-10,0,90,0
13-10,1601.3,90,0
14-2,0,90,0
14-2,1808.5,90,0
24-36,0,90,0
24-36,1819.7,90,0
25-15,0,90,0
25-15,2287.5,90,0
28-3,0,90,0
28-3,1143,90,0
1-Mar,0,90,0
1-Mar,815.3,90,0
35-3,0,90,0
35-3,381,90,0
52-21,0,90,0
52-21,2247.5,90,0
54-3,0,90,0
54-3,853.4,90,0
71-10,0,90,0
71-10,1977.8,90,0
72-16,0,90,0
72-16,422.8,90,0
82-33,0,90,0
82-33,1767.8,90,0
1-Sep,0,90,0
1-Sep,2122.4,90,0
Acord-1,0,90,0
Acord-1,3855.7,90,0
Big Cedar Cove UU-76,0,90,0
Big Cedar Cove UU-76,100,90,0
EV-4113,0,90,0
EV-4113,36,90,0
EV-4115,0,90,0
EV-4115,70,90,0
GPC-1,0,90,0
GPC-1,109,90,0
GPC-10,0,90,0
GPC-10,60,90,0
GPC-14,0,90,0
GPC-14,160,90,0
GPC-15,0,90,0
GPC-15,576.2,90,0
GPC-2,0,90,0
GPC-2,91,90,0
GPC-3,0,90,0
GPC-3,90,90,0
GPC-4,0,90,0
GPC-4,90,90,0
GPC-5,0,90,0
GPC-5,56,90,0
GPC-6,0,90,0
GPC-6,91,90,0
GPC-7,0,90,0
GPC-7,94,90,0
GPC-8,0,90,0
GPC-8,124,90,0
GPC-9,0,90,0
GPC-9,90,90,0
McCullough-1,0,90,0
McCullough-1,105,90,0
MM-101,0,90,0
MM-101,50,90,0
MV-125,0,90,0
MV-125,36,90,0
MV-22,0,90,0
MV-22,90.2,90,0
MV-23,0,90,0
MV-23,123.7,90,0
OH-1,0,90,0
OH-1,706.2,90,0
OH-4,0,90,0
OH-4,537,90,0
OH-5,0,90,0
OH-5,544.4,90,0
OH-7,0,90,0
OH-7,609.6,90,0
OH-8,0,90,0
OH-8,635.5,90,0
PPC Drilling Ridgline,0,90,0
PPC Drilling Ridgline,55.8,90,0
PPC NM Ridgline,0,90,0
PPC NM Ridgline,87.2,90,0
PPC OB5,0,90,0
PPC OB5,185,90,0
PPC WW2,0,90,0
PPC WW2,115,90,0
PPC WW3,0,90,0
PPC WW3,85,90,0
PPC WW4,0,90,0
PPC WW4,55,90,0
PPC-2,0,90,0
PPC-2,90,90,0
PPC-4,0,90,0
PPC-4,32,90,0
PPC-5,0,90,0
PPC-5,36,90,0
PPC-6,0,90,0
PPC-6,70,90,0
RHS-07,0,90,0
RHS-07,145,90,0
RHS-102,0,90,0
RHS-102,30,90,0
RHS-105,0,90,0
RHS-105,20,90,0
RHS-121,0,90,0
RHS-121,108,90,0
RHS-122,0,90,0
RHS-122,30,90,0
RHS-14,0,90,0
RHS-14,137.5,90,0
RHS-15,0,90,0
RHS-15,56.1,90,0
RHS-16,0,90,0
RHS-16,145.1,90,0
RHS-170,0,90,0
RHS-170,69,90,0
RHS-188,0,90,0
RHS-188,60,90,0
RHS-189,0,90,0
RHS-189,89,90,0
RHS-196,0,90,0
RHS-196,109,90,0
RHS-199,0,90,0
RHS-199,140,90,0
RHS-336,0,90,0
RHS-336,200,90,0
TPC-10,0,90,0
TPC-10,175,90,0
TPC-11,0,90,0
TPC-11,63,90,0
TPC-12,0,90,0
TPC-12,150,90,0
TPC-14,0,90,0
TPC-14,145,90,0
TPC-15,0,90,0
TPC-15,64,90,0
TPC-4,0,90,0
TPC-4,195,90,0
TPC-5,0,90,0
TPC-5,155,90,0
TPC-6,0,90,0
TPC-6,105,90,0
TPC-7,0,90,0
TPC-7,90,90,0
TPC-9,0,90,0
TPC-9,75,90,0
UU-75-12,0,90,0
UU-75-12,34.5,90,0
UU-75-13,0,90,0
UU-75-13,43,90,0
UU-75-1A,0,90,0
UU-75-1A,68.5,90,0
UU-75-1B,0,90,0
UU-75-1B,65,90,0
UU-76-1A,0,90,0
UU-76-1A,63.5,90,0
UUHF-3,0,90,0
UUHF-3,150,90,0
UUTG-0,0,90,0
UUTG-0,77.5,90,0
UUTG-1,0,90,0
UUTG-1,60,90,0
UUTG-3,0,90,0
UUTG-3,100,90,0
UUTG-5,0,90,0
UUTG-5,50,90,0
UUTG-6,0,90,0
UUTG-6,97.5,90,0
58-32,0,90,0
58-32,84.7,89.69999999,20.59
58-32,177.4,89.69999999,205.9
58-32,264.6,89.59999999,1
58-32,361.2,89,346
58-32,448.3,89,347
58-32,545.3,88.70000005,334
58-32,651.6,88.10000002,24.5
58-32,730.9,88.79999995,83.8
58-32,843.6,89.30000001,8.7
58-32,940.3,88.79999995,311.6
58-32,1030.2,88.79999995,123.4
58-32,1126.8,88.29999995,220
58-32,1211.8,86.20000005,253.9
58-32,1308.4,83.69999981,255.8
58-32,1392.6,83.19999981,253.8
58-32,1402.9,82.44000006,272.33
58-32,1422.4,83.0999999,275.84
58-32,1444.4,83.05000019,272.2
58-32,1454.1,83.0999999,271.98
58-32,1463.9,82.78999996,271.45
58-32,1473,82.84000015,274.26
58-32,1482.8,83.32000017,276.37
58-32,1492.5,84.1500001,277.34
58-32,1502,84.73000002,278.13
58-32,1511.7,85.38000011,273.91
58-32,1521.5,86.18000007,265.82
58-32,1531.2,87.00999999,260.37
58-32,1540.7,87.8900001,250.53
58-32,1550.4,88.46000004,251.5
58-32,1560.2,88.24000001,267.32
58-32,1569.9,88.24000001,281.9
58-32,1579.7,88.37,295.97
58-32,1589.1,88.50999999,295.97
58-32,1598.9,88.99000001,277.51
58-32,1608.7,88.99000001,251.7
58-32,1618.4,88.50999999,241.83
58-32,1627.9,88.37,243.5
58-32,1637.6,88.73000002,231.37
58-32,1647.4,89.38,203.24
58-32,1730.9,89.30000001,136.6
58-32,1789.7,88.5,316.2
58-32,1847.6,88.20000005,346.6
58-32,1933.9,87.5999999,350
58-32,1974.4,87.5,334.9
58-32,2013.1,87.4000001,287.3
58-32,2051.2,86.20000005,274.1
58-32,2062.5,86.13000011,279.53
58-32,2071.9,85.82000017,276.37
58-32,2081.7,86.30999994,281.12
58-32,2091.4,86.88000011,280.59
58-32,2101.2,87.75999999,277.16
58-32,2110.9,88.41999996,265.03
58-32,2130.1,89.07999998,260.81
58-32,2139.9,88.86000001,281.2
58-32,2149.6,88.89999998,295.1
58-32,2159.1,88.80999994,276.11
58-32,2168.9,88.86000001,274.88
58-32,2242.3,88.20000005,274
